date;time;Temp Out - Ind;Hum Out - Ind;Wind Speed - Ind;Wind Dir;Press - Ind;Rain - mm;Radiacion Solar
2026-04-02;22:00;12.1;79.5;2.04;78.6;1014.8;0.0;0.0
2026-04-02;23:00;13.7;69.6;3.15;15.8;1009.0;0.0;0.0
2026-04-03;00:00;13.0;75.5;1.68;342.5;1012.0;0.0;0.0
2026-04-03;01:00;11.1;80.4;3.76;261.4;1007.4;0.0;0.0
2026-04-03;02:00;12.9;73.8;4.23;354.6;1017.5;0.0;0.0
2026-04-03;03:00;15.9;;1.14;1.1;1013.7;0.0;0.0
2026-04-03;04:00;16.7;67.5;3.52;238.8;1012.2;0.0;0.0
2026-04-03;05:00;16.0;69.8;4.13;328.3;1009.5;0.0;0.0
2026-04-03;06:00;17.1;62.9;2.47;130.6;1013.2;0.0;55.1
2026-04-03;07:00;23.5;57.0;4.92;25.5;1011.6;0.0;294.8
2026-04-03;08:00;22.0;53.4;3.59;95.8;1011.4;0.0;497.8
2026-04-03;09:00;23.4;44.4;4.2;37.9;1011.3;0.0;726.6
2026-04-03;10:00;25.4;42.9;5.23;29.9;1011.1;0.0;806.8
2026-04-03;11:00;24.0;38.8;5.42;95.8;1011.4;0.0;844.2
2026-04-03;12:00;23.6;48.0;3.66;79.0;1009.5;0.0;865.7
2026-04-03;13:00;26.4;44.3;5.69;12.1;1011.2;0.0;823.4
2026-04-03;14:00;25.9;59.3;2.8;202.7;1013.7;0.0;750.3
2026-04-03;15:00;24.0;43.5;3.78;293.8;1016.9;0.0;623.9
2026-04-03;16:00;23.0;;4.52;77.5;1013.7;0.0;419.4
2026-04-03;17:00;19.2;59.8;4.13;332.2;1013.1;0.0;213.4
2026-04-03;18:00;17.7;58.5;2.77;330.3;1015.6;0.0;0.0
2026-04-03;19:00;16.4;72.7;3.49;190.3;1014.9;0.0;
2026-04-03;20:00;14.9;77.2;3.79;213.1;1015.8;0.0;0.0
2026-04-03;21:00;14.2;70.4;3.58;270.7;1014.6;0.0;0.0
2026-04-03;22:00;12.1;73.5;3.41;33.9;1012.2;0.0;0.0
2026-04-03;23:00;13.8;75.9;2.08;;1015.8;0.0;0.0
2026-04-04;00:00;11.4;73.2;2.23;252.5;1012.2;0.0;0.0
2026-04-04;01:00;;74.3;2.55;337.3;1011.0;0.0;0.0
2026-04-04;02:00;13.2;77.1;2.31;229.0;1013.5;0.0;0.0
2026-04-04;03:00;13.2;76.5;4.08;310.1;1010.8;0.0;0.0
2026-04-04;04:00;16.4;71.0;3.54;248.0;1017.3;0.0;0.0
2026-04-04;05:00;17.9;66.3;2.95;338.6;1014.9;0.0;0.0
2026-04-04;06:00;18.6;63.3;1.78;17.8;1012.7;0.0;12.0
2026-04-04;07:00;22.9;58.0;3.3;259.2;1011.7;0.0;176.7
2026-04-04;08:00;23.7;54.7;4.52;;1012.6;0.0;417.9
2026-04-04;09:00;24.4;50.5;6.11;118.7;1011.7;0.0;689.8
2026-04-04;10:00;23.6;50.3;6.04;3.3;1014.7;0.0;763.0
2026-04-04;11:00;23.8;46.2;4.44;309.3;;0.0;847.6
2026-04-04;12:00;25.4;39.1;4.25;177.3;1011.2;0.0;877.3
2026-04-04;13:00;;47.2;4.16;211.1;1011.7;0.0;858.7
2026-04-04;14:00;25.8;45.3;2.12;301.4;1013.7;2.5;789.9
2026-04-04;15:00;23.2;51.4;3.94;132.5;1012.6;0.0;602.3
2026-04-04;16:00;22.9;51.7;4.61;349.6;1013.3;0.0;420.2
2026-04-04;17:00;21.9;56.9;2.77;233.8;1014.2;0.0;178.0
2026-04-04;18:00;19.7;59.2;3.15;53.3;1012.9;0.0;0.0
2026-04-04;19:00;15.6;72.4;5.06;257.7;1015.0;0.0;0.0
2026-04-04;20:00;16.6;70.4;3.7;23.9;1011.5;0.0;0.0
2026-04-04;21:00;16.1;74.7;5.44;224.6;1010.1;0.0;0.0
2026-04-04;22:00;12.9;73.8;2.45;169.4;1012.8;0.0;0.0
2026-04-04;23:00;13.3;80.4;2.52;317.5;1013.3;0.0;0.0
2026-04-05;00:00;12.0;81.9;0.93;42.0;1017.3;0.0;0.0
2026-04-05;01:00;10.5;84.7;2.13;308.7;1012.4;0.0;0.0
2026-04-05;02:00;13.4;82.5;3.35;;1008.1;0.0;0.0
2026-04-05;03:00;14.2;77.5;1.56;58.2;1014.1;0.0;0.0
2026-04-05;04:00;13.2;70.3;3.28;244.3;1007.3;0.0;0.0
2026-04-05;05:00;15.6;69.6;3.11;186.4;1014.6;0.0;0.0
2026-04-05;06:00;20.0;67.4;3.96;335.8;1011.4;0.0;10.2
2026-04-05;07:00;19.6;57.6;3.11;297.1;1013.2;0.0;219.9
2026-04-05;08:00;22.6;47.9;4.11;86.8;1015.0;0.0;428.7
2026-04-05;09:00;22.8;49.7;2.6;201.3;1015.3;0.0;707.1
2026-04-05;10:00;23.4;49.0;2.96;;1010.4;0.0;772.8
2026-04-05;11:00;25.2;47.6;6.25;281.4;1015.2;4.0;955.8
2026-04-05;12:00;23.4;42.3;2.33;198.5;1012.4;0.0;857.4
2026-04-05;13:00;24.5;46.9;6.59;356.5;1011.9;0.0;935.0
2026-04-05;14:00;25.3;48.1;4.95;347.0;1011.0;0.0;
2026-04-05;15:00;22.8;48.8;4.05;53.6;1014.7;0.0;642.5
2026-04-05;16:00;20.8;49.5;4.37;29.0;1013.6;0.0;417.2
2026-04-05;17:00;21.6;55.2;2.72;126.5;1013.1;0.0;148.2
2026-04-05;18:00;19.0;61.5;4.61;234.5;1006.8;0.0;0.0
2026-04-05;19:00;17.1;61.5;1.91;11.8;1015.1;0.0;0.0
2026-04-05;20:00;14.8;73.2;2.53;52.0;1013.3;0.0;0.0
2026-04-05;21:00;13.3;74.3;3.02;318.1;1011.0;0.0;0.0
2026-04-05;22:00;12.4;80.6;2.84;336.6;1007.5;0.0;0.0
2026-04-05;23:00;12.0;74.4;2.65;172.2;1014.2;0.0;0.0
2026-04-06;00:00;11.4;85.2;0.79;107.7;1012.2;0.0;0.0
2026-04-06;01:00;11.9;84.5;1.69;118.2;1015.4;0.0;0.0
2026-04-06;02:00;10.8;80.1;3.36;108.3;1013.5;0.0;0.0
2026-04-06;03:00;13.4;72.4;1.96;148.1;1009.6;0.0;0.0
2026-04-06;04:00;14.7;65.2;3.05;137.6;1010.3;0.0;0.0
2026-04-06;05:00;19.5;72.2;1.57;302.4;1013.5;0.0;0.0
2026-04-06;06:00;18.3;62.3;5.11;325.1;1011.9;0.0;0.0
2026-04-06;07:00;21.5;65.2;2.46;180.9;1012.0;0.0;247.4
2026-04-06;08:00;23.1;48.0;2.73;200.2;1013.7;0.0;428.7
2026-04-06;09:00;23.5;51.8;3.57;19.0;1012.9;0.0;
2026-04-06;10:00;26.3;50.0;3.3;91.4;1012.8;0.0;804.5
2026-04-06;11:00;24.2;40.1;5.65;2.0;1013.9;0.0;928.6
2026-04-06;12:00;24.5;49.2;3.49;204.7;1016.2;0.0;914.6
2026-04-06;13:00;25.4;44.3;4.48;253.9;1010.5;0.0;838.0
2026-04-06;14:00;25.8;50.6;3.65;263.0;1018.6;0.0;792.3
2026-04-06;15:00;22.7;47.7;4.45;204.2;1016.9;0.0;650.6
2026-04-06;16:00;21.2;50.0;3.02;239.6;1012.3;0.0;461.1
2026-04-06;17:00;21.0;63.7;;350.9;1012.9;0.0;209.7
2026-04-06;18:00;19.0;61.0;3.94;11.5;1010.9;0.0;35.7
2026-04-06;19:00;18.4;70.5;4.22;190.7;1012.0;0.0;0.0
2026-04-06;20:00;14.1;70.9;0.77;101.9;1011.2;0.0;0.0
2026-04-06;21:00;14.7;71.8;2.32;10.8;1011.1;0.0;0.0
2026-04-06;22:00;12.3;78.3;1.05;17.4;1012.1;3.7;0.0
2026-04-06;23:00;12.4;85.4;2.34;292.7;1012.0;0.0;0.0
2026-04-07;00:00;13.9;82.1;3.29;;1012.5;0.0;0.0
2026-04-07;01:00;12.3;75.9;1.58;340.9;1013.7;0.0;0.0
2026-04-07;02:00;13.0;82.5;1.84;233.2;1009.4;0.0;0.0
2026-04-07;03:00;12.7;69.8;2.38;354.2;1011.4;0.0;0.0
2026-04-07;04:00;16.0;72.0;4.91;154.5;1009.0;0.0;0.0
2026-04-07;05:00;17.6;68.3;4.48;36.0;1010.9;0.0;0.0
2026-04-07;06:00;20.0;64.2;2.97;220.2;1015.1;0.0;105.2
2026-04-07;07:00;20.6;64.2;2.3;210.0;1011.3;0.0;197.4
2026-04-07;08:00;21.8;53.4;3.44;207.7;1012.7;0.0;506.6
2026-04-07;09:00;24.3;50.6;4.15;227.1;1014.3;0.0;680.1
2026-04-07;10:00;26.9;;3.75;171.6;;0.0;810.7
2026-04-07;11:00;;44.3;6.22;;1015.5;0.0;816.1
2026-04-07;12:00;26.3;42.7;3.35;67.7;1009.1;0.0;883.6
2026-04-07;13:00;26.0;41.3;4.05;139.8;1009.1;0.0;885.4
2026-04-07;14:00;25.2;43.6;4.21;67.0;1017.4;0.0;802.4
2026-04-07;15:00;;50.3;5.9;38.1;1016.5;0.0;561.7
2026-04-07;16:00;23.4;57.7;5.39;24.4;;0.0;430.8
2026-04-07;17:00;20.7;59.4;3.16;270.6;1015.1;0.0;321.7
2026-04-07;18:00;21.5;57.9;2.8;86.4;1010.1;0.0;0.0
2026-04-07;19:00;15.9;65.9;4.15;54.4;1012.1;0.0;0.0
2026-04-07;20:00;16.0;72.9;4.08;265.4;1013.5;0.0;0.0
2026-04-07;21:00;15.2;78.0;1.53;158.5;1010.1;0.0;0.0
2026-04-07;22:00;13.1;74.1;;81.2;1012.9;0.0;0.0
2026-04-07;23:00;12.9;73.8;2.49;96.0;1014.0;0.0;0.0
