date;time;station;component_1;component_2;component_3;component_4;component_5;component_6;component_7;component_8;component_9
2026-04-03;23:00;EST-01;14,72;27,03;20,55;16,82;88,34;0,825;;1,99;49,3
2026-04-04;00:00;EST-01;21;23,21;17,16;20,9;;0,427;7,34;0,84;72,7
2026-04-04;01:00;EST-01;19,41;25,85;16,23;32,42;73,23;0,16;3,96;1,15;102,4
2026-04-04;02:00;EST-01;17,67;18,04;6,92;13,55;66,86;0,015;5,57;2,91;107,8
2026-04-04;03:00;EST-01;12,87;25,61;17,09;42,98;67,34;0,472;3,67;3,73;171,5
2026-04-04;04:00;EST-01;23,54;34,54;14,16;15,99;64,74;0,678;3,08;1,86;184,6
2026-04-04;05:00;EST-01;18,19;34,81;6,67;2,72;51,16;0,169;2,07;1,13;185,8
2026-04-04;06:00;EST-01;24,45;37,65;14,85;20,33;58,97;0,454;2,18;3,34;141,9
2026-04-04;07:00;EST-01;23,55;37,61;25,92;28,01;50,61;0,665;1,57;0,15;155,3
2026-04-04;08:00;EST-01;20,6;26,82;;;36,32;0,576;2,15;4,69;119,1
2026-04-04;09:00;EST-01;26,1;34,93;21,99;34,37;51,03;0,986;3,62;2,92;3,3
2026-04-04;10:00;EST-01;27,11;48,22;21,9;12,68;58,69;1,178;1,96;0;1,7
2026-04-04;11:00;EST-01;28,55;56,47;34,65;45,54;50,5;1,085;3,4;0,98;217,2
2026-04-04;12:00;EST-01;32,6;58,98;29,06;47,52;63,84;1,213;6,5;3,45;114,3
2026-04-04;13:00;EST-01;;47,5;25,74;36,71;61,49;0,994;7,36;5,09;114,2
2026-04-04;14:00;EST-01;27,02;51,34;35,06;50,71;63,44;1,26;4,12;0,55;1,4
2026-04-04;15:00;EST-01;25,54;51,66;39,13;54,87;76,67;1,193;3,59;0,88;98,3
2026-04-04;16:00;EST-01;22,48;28,47;36,22;53,83;69,28;1,128;5,99;4,09;314,6
2026-04-04;17:00;EST-01;24,98;34,9;26,65;40,07;86,42;1,276;6,2;2,3;354
2026-04-04;18:00;EST-01;22,72;37,66;28,99;35,96;88,84;0,924;2,74;2,97;142,2
2026-04-04;19:00;EST-01;24,01;40,06;21,89;26,8;97,95;0,729;0;0;316,2
2026-04-04;20:00;EST-01;22,12;34,69;31,07;22,12;92,38;1,034;1,74;1,93;311,6
2026-04-04;21:00;EST-01;17,39;;29,55;56,07;87,3;0,982;4,07;5,13;319,5
2026-04-04;22:00;EST-01;20,52;35,03;35,89;57,06;83,08;0,745;3,28;1,77;70,8
2026-04-04;23:00;EST-01;19,3;32,54;18;27,89;86,69;;5,33;1,03;35,6
2026-04-05;00:00;EST-01;18,3;29,79;12,87;24,67;71,95;0,393;2,83;2,43;16,3
2026-04-05;01:00;EST-01;14,1;26,91;15,66;;63,42;0,412;3,56;2,34;315,6
2026-04-05;02:00;EST-01;18,9;35,93;9,44;3,85;63,44;0,443;6,49;1,85;
2026-04-05;03:00;EST-01;;13,11;12,55;14,31;65,06;0,367;6,1;1,49;264,6
2026-04-05;04:00;EST-01;20,45;23,51;18,29;26,42;59,12;0,692;2,76;5,59;322,6
2026-04-05;05:00;EST-01;14,06;22,92;12,55;11,55;;0,6;2,76;3,98;306,5
2026-04-05;06:00;EST-01;25,75;44,37;26,82;22,5;50,77;0,47;4,24;1,64;186,4
2026-04-05;07:00;EST-01;28,49;44,57;24,48;32,41;51,14;0,697;4,9;4,25;343,2
2026-04-05;08:00;EST-01;23,24;40,72;19,25;26,24;55,64;;4,42;3,83;218,9
2026-04-05;09:00;EST-01;27,84;46,27;25,81;38,82;33,1;0,961;0;0;55
2026-04-05;10:00;EST-01;25,91;34,48;26,44;47,98;49,78;1,336;4;3,11;76,3
2026-04-05;11:00;EST-01;25,35;34,55;31,52;43,85;47,67;1,044;2,52;3,89;46,5
2026-04-05;12:00;EST-01;;38,3;34,78;53,62;54;0,99;6,21;1,88;
2026-04-05;13:00;EST-01;27,64;47;27,01;39,64;69,24;1,243;5,26;0,39;321,3
2026-04-05;14:00;EST-01;24,79;36,77;39,35;66,93;80,77;1,397;3,78;3,03;259,1
2026-04-05;15:00;EST-01;26,35;42,94;38,78;53,81;70,8;1,124;5,27;2,5;33
2026-04-05;16:00;EST-01;28,14;42,78;37,44;55,45;72,59;1,363;3;0,02;88,8
2026-04-05;17:00;EST-01;20,74;33,5;30,7;40,29;87,86;1,134;4,63;3,11;195,1
2026-04-05;18:00;EST-01;15,57;22,72;19,1;;87,29;1,157;6,38;2,8;246,8
2026-04-05;19:00;EST-01;24,98;36,79;27,58;46,5;85,97;1,024;5,35;1,07;196
2026-04-05;20:00;EST-01;24,79;40,28;21,19;22,79;86,77;0,881;2,09;3,16;268,2
2026-04-05;21:00;EST-01;20,15;32,9;34,64;37,47;98,15;0,719;4,82;2,68;210,9
2026-04-05;22:00;EST-01;19,39;39,74;17,72;33,86;83,45;0,591;1,86;3,18;302,1
2026-04-05;23:00;EST-01;18,86;29;12,36;15,46;74,59;0,38;4,45;4,48;223,1
2026-04-06;00:00;EST-01;16,19;34,52;17,56;23,37;82,6;;4,22;1,89;40,3
2026-04-06;01:00;EST-01;11,96;23,06;13,96;14,77;75,23;0,533;4,36;1,52;359,8
2026-04-06;02:00;EST-01;17,73;37,85;17,47;32,25;77,45;0,57;5,23;3,4;242
2026-04-06;03:00;EST-01;13,75;26,2;8,56;5,63;72,65;0,54;6,97;2,09;176,9
2026-04-06;04:00;EST-01;17,57;28,73;;32,5;;0,506;2,02;3,18;0,2
2026-04-06;05:00;EST-01;16,17;24,46;17,01;21,65;66,49;0,502;3,51;0;296,3
2026-04-06;06:00;EST-01;18,95;26,2;26,91;36,35;60,41;0,609;4,07;2,37;270,1
2026-04-06;07:00;EST-01;27,84;30,63;12,4;13,02;50,77;0,8;4,95;1,92;63,1
2026-04-06;08:00;EST-01;26,12;;29,81;43,92;46,63;0,905;4,22;2,5;351,2
2026-04-06;09:00;EST-01;13,23;12,66;21,65;;49,15;0,677;2,03;1,21;298,3
2026-04-06;10:00;EST-01;31,21;47,46;28,18;30,26;41,23;0,982;2;2,37;297,6
2026-04-06;11:00;EST-01;21,78;35,74;33,9;50,8;47,93;1,211;2,4;3,45;0,4
2026-04-06;12:00;EST-01;19,96;30,04;35,49;54,59;59,15;1,376;6,02;2,12;21,4
2026-04-06;13:00;EST-01;33,6;65,52;28,52;32,51;73,73;1,028;1,35;1,77;
2026-04-06;14:00;EST-01;25,59;37,04;31,63;38,58;64,72;;4,6;3,83;73,9
2026-04-06;15:00;EST-01;25,12;35,91;21,4;18,94;64,31;0,849;1,61;4,49;271,5
2026-04-06;16:00;EST-01;30,63;51,47;37,57;45,4;83,14;1,256;2,85;3,34;290,2
2026-04-06;17:00;EST-01;22,63;;26,15;37,3;86,1;0,964;4,05;3,36;69,6
2026-04-06;18:00;EST-01;30,21;55,99;24,99;48,46;84,13;1,157;4,14;1,88;335,8
2026-04-06;19:00;EST-01;22,35;26,4;32,42;57,53;84,54;0,949;2,55;1,56;124,5
2026-04-06;20:00;EST-01;21,85;45,39;22,59;39,62;;0,919;3,11;2,43;92,7
2026-04-06;21:00;EST-01;17,62;32,17;25,66;40,68;98,54;0,914;3,25;3,06;208,4
2026-04-06;22:00;EST-01;20,09;28,55;28,1;42,25;86,01;0,779;0;0;167,7
2026-04-06;23:00;EST-01;;32,56;11,3;15,63;96,16;0,641;4,34;1,84;279
2026-04-07;00:00;EST-01;10,02;17,58;20,57;16,19;76,03;0,28;2,07;2,58;134,8
2026-04-07;01:00;EST-01;7,95;16,41;19,11;24,75;60,29;0,264;6,47;0;150,3
2026-04-07;02:00;EST-01;13,28;26,08;11,62;;73,39;0,675;3,59;3,06;166,9
2026-04-07;03:00;EST-01;22,9;32,07;12,54;17,37;55,45;0,448;5,93;2,94;77,2
2026-04-07;04:00;EST-01;18,04;33,32;6,95;1,13;65,26;0,494;4,82;5,29;29,1
2026-04-07;05:00;EST-01;21,8;51,15;16,86;17,22;58,42;0,583;2,95;0,95;345,1
2026-04-07;06:00;EST-01;21,31;29,7;24,58;33,54;51,16;0,684;1,42;3,03;300,5
2026-04-07;07:00;EST-01;22,83;34,27;19,88;;49,16;0,64;5,83;0;111,8
2026-04-07;08:00;EST-01;20,48;35,03;19,37;37,74;57,47;0,944;0,97;3,74;303,2
2026-04-07;09:00;EST-01;16,61;26,44;29,41;45,62;51,75;0,947;;4,34;173,9
2026-04-07;10:00;EST-01;22,73;;21,24;30,49;;0,837;4,67;1,13;335
2026-04-07;11:00;EST-01;;;34,38;33,17;67,03;1,173;3,64;3,36;351,8
2026-04-07;12:00;EST-01;30,19;46,37;32,64;41,76;;1,251;4,51;3,48;225,4
2026-04-07;13:00;EST-01;27,92;42,15;45,81;51,59;72,39;1,392;2,3;5,84;157,6
2026-04-07;14:00;EST-01;29,88;47,98;33,91;45,8;72,34;1,41;4,36;1,13;156,5
2026-04-07;15:00;EST-01;29,55;51,21;38,39;51,57;69,6;1,056;;2,86;182,9
2026-04-07;16:00;EST-01;23,7;20,19;27,42;47,36;76,01;1,2;1,22;4,66;
2026-04-07;17:00;EST-01;25,99;55,54;39,65;53,06;80,58;1,034;;2,34;281,4
2026-04-07;18:00;EST-01;29,87;47,1;;58,82;98,03;1,054;5,93;1,41;133,5
2026-04-07;19:00;EST-01;24,87;45,73;27,79;28,61;81,16;0,689;0,46;2,66;71,5
2026-04-07;20:00;EST-01;;21,55;24,05;;102,58;0,581;3,22;5,06;104,9
2026-04-07;21:00;EST-01;23,22;37,84;24,06;39,91;84,46;0,828;;2,99;98,4
2026-04-07;22:00;EST-01;17,53;27,92;16,89;15,07;85,2;0,434;4,65;0,77;293,4
2026-04-07;23:00;EST-01;14,45;19,72;14,81;31,33;86,12;0,485;5;;270,6
2026-04-08;00:00;EST-01;26,53;43,24;16,68;27,74;85,37;0,154;0,64;2,82;334,8
2026-04-08;01:00;EST-01;23,38;35,52;5,67;0;58,68;;3,62;1,86;165,9
2026-04-08;02:00;EST-01;22,79;35,45;4,33;11;73,33;0,446;5,96;0,75;39,1
2026-04-08;03:00;EST-01;14,3;27,37;6,9;2,22;73,92;0,374;5,68;2,86;96,5
2026-04-08;04:00;EST-01;23,99;36,97;7,44;3,98;63,31;0,513;0,87;;341,7
2026-04-08;05:00;EST-01;17,71;;14,79;14,87;60,49;0,639;3,71;1,91;50,4
2026-04-08;06:00;EST-01;16,73;19,89;15,3;16,34;45,7;0,624;5,46;0,12;91,1
2026-04-08;07:00;EST-01;20,08;;22,35;19,66;43,11;0,701;6,06;0;
2026-04-08;08:00;EST-01;26,76;41,9;27,75;33,23;49,28;0,557;0;3,91;70,4
2026-04-08;09:00;EST-01;21,21;25,62;20,54;27,36;46,3;0,96;4,91;2,98;332,4
2026-04-08;10:00;EST-01;30,31;42,09;29,73;50,68;;0,787;;;104,2
2026-04-08;11:00;EST-01;25,61;39,67;30,15;44,52;54,34;1,076;4,16;1,48;144,7
2026-04-08;12:00;EST-01;37,12;48,73;35,28;43,31;63,46;1,153;5,52;4,26;330,3
2026-04-08;13:00;EST-01;30,39;34,56;42,61;62,66;71,29;1,003;;2,72;46,2
2026-04-08;14:00;EST-01;27,13;49,92;26,17;44,43;70,05;;1,06;3,25;269,8
2026-04-08;15:00;EST-01;24,02;42,32;27,2;38,51;74,46;1,362;3,64;1,46;328,7
2026-04-08;16:00;EST-01;30,56;52,11;;42,53;70,6;1,205;0,48;3,63;330,4
2026-04-08;17:00;EST-01;34,38;48,4;31,56;;91,29;0,978;4,45;2,5;102,3
2026-04-08;18:00;EST-01;21,21;33,39;22,01;31,89;90,02;0,966;;3,98;237,1
2026-04-08;19:00;EST-01;20,13;30,53;20,08;19,92;86,09;1,088;2,72;3,46;311,4
2026-04-08;20:00;EST-01;22,99;35,94;29,37;36,83;80,56;0,593;2,94;0,63;191,3
2026-04-08;21:00;EST-01;19,1;;13,72;20,84;;0,622;4,28;;191,4
2026-04-08;22:00;EST-01;27,61;41,46;21,3;38,02;86,34;0,513;0;3,46;50,8
2026-04-08;23:00;EST-01;15,12;24,95;15,01;16,79;87,78;0,316;6,09;0,4;25,7
2026-04-09;00:00;EST-01;26,23;48,73;16,83;16,03;76,82;0,465;4,08;2,36;229,8
2026-04-09;01:00;EST-01;17,28;18,99;12,76;25,18;66,97;0,385;2,36;2,67;55,3
2026-04-09;02:00;EST-01;23,91;41,29;8,44;17,19;65,35;0,313;4,63;1,76;78
2026-04-09;03:00;EST-01;15,04;20,35;12,06;12,36;71,42;0,508;7,42;5,9;224,5
2026-04-09;04:00;EST-01;;23,05;12,45;;53,66;0,296;3,71;0,67;80,1
2026-04-09;05:00;EST-01;15,5;41,66;15,67;22,52;48,09;0,773;6,24;2,95;177,1
2026-04-09;06:00;EST-01;20,84;26,62;27,31;44,71;53,25;0,235;2,03;3,53;168,6
2026-04-09;07:00;EST-01;25,4;31,09;23,92;41,61;40,73;0,695;4,55;2,05;264
2026-04-09;08:00;EST-01;20,7;31,15;24,26;29,46;47,34;0,794;4,88;2,04;148,4
2026-04-09;09:00;EST-01;23,4;25,92;29,97;41,96;50,92;;0,09;0;103,3
2026-04-09;10:00;EST-01;;39,38;27,69;44,08;58,28;1,073;3,48;0;335,9
2026-04-09;11:00;EST-01;;;27,67;44,13;61,02;1,317;2,25;2,16;287,4
2026-04-09;12:00;EST-01;;;35,73;54,66;60,53;1,179;3,48;4,72;120,1
2026-04-09;13:00;EST-01;23,51;37,69;39,05;42,7;56,96;0,881;4,07;0,82;7,6
2026-04-09;14:00;EST-01;28,65;41,98;36,16;48,22;74,03;1,271;2,62;2,25;305,6
2026-04-09;15:00;EST-01;27,44;35,52;37,94;44,44;83,65;1,34;4,58;2,74;64,3
2026-04-09;16:00;EST-01;28,18;42,86;34,84;55,75;76,63;1,054;1,61;0,9;177,9
2026-04-09;17:00;EST-01;27,75;;;41,87;88,49;1,296;3,09;2,65;158,1
2026-04-09;18:00;EST-01;;33,73;31;30,91;90,58;1,154;2,43;0,79;88,4
2026-04-09;19:00;EST-01;21,97;31,66;19,83;31,39;86,62;0,742;;4,11;334,6
2026-04-09;20:00;EST-01;21,48;38,08;19,2;27,13;90,88;0,73;4,87;1,33;198,1
2026-04-09;21:00;EST-01;23,17;19,57;;15,33;85,62;0,85;3,37;0,3;27
2026-04-09;22:00;EST-01;24,11;27,04;25,64;35,46;80,17;0,513;1,97;3,8;62,9
2026-04-09;23:00;EST-01;12,29;17,25;13,61;29,41;76,04;0,758;3,93;0,76;87
2026-04-10;00:00;EST-01;15,33;16,88;16,81;13,72;66,92;0,397;0,39;1,37;122,3
2026-04-10;01:00;EST-01;14,65;35,45;15,62;23,83;64,52;0,316;4,43;0,96;160,7
2026-04-10;02:00;EST-01;13,19;19,38;;18,21;66,16;0,359;3,53;1,4;17,1
2026-04-10;03:00;EST-01;;30,01;13,19;24,84;63,41;0,368;4,21;5,04;134,5
2026-04-10;04:00;EST-01;21,62;23,23;17,43;37;62,93;0,479;2,88;2,55;191
2026-04-10;05:00;EST-01;16,03;23,91;18,92;20,35;51,02;0,313;4,78;3,32;8
2026-04-10;06:00;EST-01;23,86;38,7;;33,17;52,13;0,52;8,43;1,82;160,2
2026-04-10;07:00;EST-01;22,7;37,83;15,39;30,52;50,12;0,53;6,38;3,44;172,7
2026-04-10;08:00;EST-01;29,11;50,53;24,95;47,65;50,96;0,796;2,68;3,37;334,8
2026-04-10;09:00;EST-01;23,09;32,21;28,24;38,97;42,68;0,683;5,13;;140,4
2026-04-10;10:00;EST-01;22,09;43,19;27,53;43,82;50,3;1,017;5,47;1,81;65,3
2026-04-10;11:00;EST-01;20,85;35,13;36,68;56,64;;0,968;;1,01;205,9
2026-04-10;12:00;EST-01;27,46;44,54;28,05;45,4;52,65;;9,71;;290,5
2026-04-10;13:00;EST-01;23,89;27,37;31,65;35,56;56,14;1,445;4,55;3,07;192
2026-04-10;14:00;EST-01;25,31;46,28;34,84;53,02;68,82;1,149;1,19;0;98,6
2026-04-10;15:00;EST-01;26,09;34,03;34,49;48,71;62,24;1,049;4,81;3,08;72,8
2026-04-10;16:00;EST-01;26,1;47,89;37,55;51,8;77,19;1,052;4,94;2,79;303,9
2026-04-10;17:00;EST-01;25,36;45,48;32,54;;89,37;0,962;0,38;4,82;277,2
2026-04-10;18:00;EST-01;;23,14;33,86;45,17;84,25;;;1,3;99,3
2026-04-10;19:00;EST-01;24,6;42,33;32,14;46,59;92,25;0,865;4,13;2,66;321,7
2026-04-10;20:00;EST-01;25,09;43,48;25,22;28,84;90,41;0,796;4,39;;203,7
2026-04-10;21:00;EST-01;22,65;42,66;22,9;50,77;87,05;0,745;2,4;1,97;189,5
2026-04-10;22:00;EST-01;23,39;39,33;26,3;36,05;85,33;1,006;4,79;1,42;21,2
2026-04-10;23:00;EST-01;15,4;;16,11;23,57;83,76;0,627;;0,89;322,1
2026-04-11;00:00;EST-01;20,94;35,5;12,29;22,63;75,54;0,375;2,11;;173,7
2026-04-11;01:00;EST-01;20,56;40,37;29,4;27,49;70,75;0,321;2,3;0,88;149,8
2026-04-11;02:00;EST-01;13,13;23,02;15,26;25,21;;0,49;3,25;5,68;236
2026-04-11;03:00;EST-01;10,69;11,08;6,64;9,43;64,09;0,343;8,02;3,32;106,9
2026-04-11;04:00;EST-01;14,81;17,7;16,52;;48,86;0,427;4,03;2,18;124,3
2026-04-11;05:00;EST-01;17,01;26,16;18,38;30,57;62,34;0,473;3,09;;21,1
2026-04-11;06:00;EST-01;18,26;33,96;24,9;45,19;;;4,03;2,52;182,8
2026-04-11;07:00;EST-01;18,37;20,47;22,88;25,88;51,2;0,577;1,8;2,85;200,2
2026-04-11;08:00;EST-01;24,32;52,02;26,39;40,82;43,53;0,607;7,17;1,11;33,7
2026-04-11;09:00;EST-01;22,88;36,07;23,08;29,87;58,06;0,783;1,21;3,91;107,7
2026-04-11;10:00;EST-01;;24,94;26,28;36,35;59,67;0,845;3,83;3,51;175
2026-04-11;11:00;EST-01;28,96;39,25;33,73;49,2;62,37;1,165;;1,32;138,5
2026-04-11;12:00;EST-01;24,68;42,36;37,61;57,52;58,71;0,869;3,09;3,12;24,1
2026-04-11;13:00;EST-01;28,39;50,87;35,29;24,9;57,16;1,469;2,91;0;209
2026-04-11;14:00;EST-01;26,05;48,32;36,38;54,61;72,18;1,305;8,55;;24,9
2026-04-11;15:00;EST-01;27,65;51,09;40,67;53,53;82,17;1,326;9,15;1,37;32
2026-04-11;16:00;EST-01;24,24;35,84;29,21;18,79;77,39;1,202;3,01;;180,2
2026-04-11;17:00;EST-01;29,99;49,56;36,2;52,92;92,35;1,091;4,99;3,05;94,8
2026-04-11;18:00;EST-01;25,62;54,4;28,65;43,46;94,87;1,171;4,02;0;54
2026-04-11;19:00;EST-01;14,16;31,47;28,44;47,81;83,91;0,671;4,52;2,45;17
2026-04-11;20:00;EST-01;22,34;52,35;29,17;49,24;95,06;1,022;3,62;0;3,9
2026-04-11;21:00;EST-01;24,21;32,92;21,53;24,61;98,33;0,809;5,3;3,43;
2026-04-11;22:00;EST-01;20,79;26,15;9,07;13,9;89,26;0,781;7,14;4,85;350,9
2026-04-11;23:00;EST-01;17,76;31,3;30,59;54,66;90,86;0,459;2,23;3,68;44,6
2026-04-12;00:00;EST-01;17,58;27,44;24,3;;65,36;0,529;2,6;2,56;272,6
2026-04-12;01:00;EST-01;17,04;32,01;7,68;;79,28;0,322;0,78;3,5;157,4
2026-04-12;02:00;EST-01;17,82;16,75;18,53;12,66;71,85;0,267;1,68;1,84;145,5
2026-04-12;03:00;EST-01;15,56;28,43;13,11;26,2;66,51;0,309;2,27;0,03;98,3
2026-04-12;04:00;EST-01;17,12;;13,66;11,92;69,45;0,198;1,12;4,16;213,6
2026-04-12;05:00;EST-01;;;21,01;10,8;44,69;0,475;7,1;1,85;51,5
2026-04-12;06:00;EST-01;24,54;51,9;17,12;23,83;63,61;0,372;6,06;0,97;138
2026-04-12;07:00;EST-01;19,99;26,24;17,5;26,71;56,65;0,677;4,14;3,36;198,8
2026-04-12;08:00;EST-01;24,96;44,85;38,02;50,22;47,25;0,915;;1,7;19,2
2026-04-12;09:00;EST-01;25,2;35,35;25,54;36,47;56,66;0,813;0,32;0;83,8
2026-04-12;10:00;EST-01;18,75;29,07;24,06;28,06;48,03;0,934;6,65;3,49;225,4
2026-04-12;11:00;EST-01;22,98;34,18;33,71;51,87;50,41;1,088;;2,82;248,6
2026-04-12;12:00;EST-01;24,34;49,85;29,25;42,7;59,79;1,131;3,77;2,66;157,3
