date;time;station;SO2 ppb;PM10 µg/m3 std;PM2.5 µg/m3 std;NO2 ppb;CO ppm;O3 ppb
2026-04-04;05:00;EST-01;1.42;30.2;22.75;8.54;0.472;34.94
2026-04-04;06:00;EST-01;2.64;34.08;16.67;13.61;0.745;32.9
2026-04-04;07:00;EST-01;5.0;27.42;15.98;11.33;0.983;33.82
2026-04-04;08:00;EST-01;5.29;34.61;21.56;21.2;1.079;29.81
2026-04-04;09:00;EST-01;3.65;30.28;17.1;26.32;1.039;30.62
2026-04-04;10:00;EST-01;4.33;35.67;27.37;14.22;;31.3
2026-04-04;11:00;EST-01;7.66;32.58;22.12;21.34;0.98;45.59
2026-04-04;12:00;EST-01;7.72;37.59;20.55;21.22;1.106;41.1
2026-04-04;13:00;EST-01;6.83;40.03;19.97;29.43;1.183;50.72
2026-04-04;14:00;EST-01;9.24;39.98;21.32;29.74;1.127;43.79
2026-04-04;15:00;EST-01;6.86;34.34;26.02;29.28;1.218;49.82
2026-04-04;16:00;EST-01;5.86;34.31;22.77;26.6;1.181;53.73
2026-04-04;17:00;EST-01;4.78;39.45;18.42;24.9;1.062;45.96
2026-04-04;18:00;EST-01;6.11;38.71;21.95;23.8;0.98;53.44
2026-04-04;19:00;EST-01;5.19;33.04;22.1;18.51;0.969;60.29
2026-04-04;20:00;EST-01;4.83;32.16;22.93;14.34;0.905;61.22
2026-04-04;21:00;EST-01;4.82;35.55;17.94;17.63;0.836;61.73
2026-04-04;22:00;EST-01;4.25;22.71;21.38;21.18;0.796;59.49
2026-04-04;23:00;EST-01;1.72;36.21;18.36;4.51;0.648;48.88
2026-04-05;00:00;EST-01;1.71;25.79;22.86;11.72;0.579;62.49
2026-04-05;01:00;EST-01;4.98;28.38;17.26;7.26;0.429;52.86
2026-04-05;02:00;EST-01;3.47;29.46;21.48;8.91;0.493;51.16
2026-04-05;03:00;EST-01;3.77;35.43;19.49;11.07;0.555;39.25
2026-04-05;04:00;EST-01;1.3;33.09;18.21;14.44;0.343;39.42
2026-04-05;05:00;EST-01;2.87;25.37;;13.3;0.71;40.57
2026-04-05;06:00;EST-01;3.28;31.71;22.15;5.46;0.66;39.39
2026-04-05;07:00;EST-01;5.3;43.45;24.2;19.92;0.796;39.36
2026-04-05;08:00;EST-01;4.35;34.56;24.17;28.83;0.831;34.76
2026-04-05;09:00;EST-01;5.76;44.41;21.67;29.21;0.825;34.5
2026-04-05;10:00;EST-01;5.76;42.52;26.16;19.46;0.915;38.36
2026-04-05;11:00;EST-01;5.62;29.91;26.76;29.34;1.157;36.28
2026-04-05;12:00;EST-01;7.97;38.56;27.44;25.15;1.051;42.27
2026-04-05;13:00;EST-01;6.09;44.65;24.81;26.0;1.197;42.51
2026-04-05;14:00;EST-01;8.1;37.0;22.46;34.84;1.469;57.5
2026-04-05;15:00;EST-01;7.01;41.91;;29.2;1.071;
2026-04-05;16:00;EST-01;7.27;35.02;17.84;23.05;1.233;49.96
2026-04-05;17:00;EST-01;6.24;40.32;25.29;26.02;1.157;51.89
2026-04-05;18:00;EST-01;5.57;31.65;26.46;25.39;0.936;56.56
2026-04-05;19:00;EST-01;5.25;40.56;16.19;19.18;0.895;72.24
2026-04-05;20:00;EST-01;6.15;34.13;23.49;29.23;0.822;58.17
2026-04-05;21:00;EST-01;5.94;36.21;22.57;16.64;0.99;68.12
2026-04-05;22:00;EST-01;4.68;35.91;12.4;19.05;;60.49
2026-04-05;23:00;EST-01;4.4;28.51;12.96;16.11;0.514;54.69
2026-04-06;00:00;EST-01;2.54;27.55;10.32;18.07;0.577;59.31
2026-04-06;01:00;EST-01;5.44;29.14;11.79;8.73;0.367;48.23
2026-04-06;02:00;EST-01;3.1;16.79;19.2;5.96;0.536;46.95
2026-04-06;03:00;EST-01;2.69;28.57;16.21;9.86;0.31;44.12
2026-04-06;04:00;EST-01;5.48;41.49;23.03;16.03;;48.46
2026-04-06;05:00;EST-01;3.52;30.14;;15.0;0.55;38.24
2026-04-06;06:00;EST-01;2.7;29.56;27.48;16.22;0.646;
2026-04-06;07:00;EST-01;5.33;26.56;;22.34;0.792;36.04
2026-04-06;08:00;EST-01;6.86;30.73;21.29;18.92;;
2026-04-06;09:00;EST-01;4.71;33.18;24.1;25.75;;27.56
2026-04-06;10:00;EST-01;6.9;36.04;20.17;27.66;0.915;26.29
2026-04-06;11:00;EST-01;5.97;30.06;20.85;;1.135;46.6
2026-04-06;12:00;EST-01;6.49;30.8;20.95;25.12;1.007;43.43
2026-04-06;13:00;EST-01;6.16;28.73;26.34;29.25;1.231;44.79
2026-04-06;14:00;EST-01;7.76;41.03;28.33;31.7;1.247;49.55
2026-04-06;15:00;EST-01;5.18;39.61;;30.52;1.025;58.91
2026-04-06;16:00;EST-01;6.86;32.73;17.62;27.67;1.142;50.16
2026-04-06;17:00;EST-01;6.52;35.2;25.05;24.47;1.093;
2026-04-06;18:00;EST-01;9.09;31.75;20.87;22.14;1.119;52.58
2026-04-06;19:00;EST-01;4.94;36.18;18.35;;0.884;49.07
2026-04-06;20:00;EST-01;3.27;;;20.26;0.637;57.68
2026-04-06;21:00;EST-01;5.44;36.58;19.95;15.12;0.835;56.68
2026-04-06;22:00;EST-01;2.6;26.99;24.57;17.38;0.814;55.93
2026-04-06;23:00;EST-01;4.71;26.95;18.33;24.58;0.695;53.83
2026-04-07;00:00;EST-01;;31.56;22.64;11.25;0.338;
2026-04-07;01:00;EST-01;3.09;29.66;22.71;13.57;0.609;45.23
2026-04-07;02:00;EST-01;4.04;41.38;20.71;13.01;0.518;56.44
2026-04-07;03:00;EST-01;1.96;28.34;19.71;15.28;0.459;45.8
2026-04-07;04:00;EST-01;2.93;30.33;17.94;8.64;0.544;45.64
2026-04-07;05:00;EST-01;2.43;29.11;21.21;10.36;0.624;33.36
2026-04-07;06:00;EST-01;5.36;45.68;26.58;15.62;0.764;37.28
2026-04-07;07:00;EST-01;4.6;42.53;15.61;22.89;0.754;42.47
2026-04-07;08:00;EST-01;5.22;30.76;;23.94;0.854;37.44
2026-04-07;09:00;EST-01;4.89;23.55;24.93;26.13;0.958;35.77
2026-04-07;10:00;EST-01;7.24;35.06;20.03;24.75;1.168;29.74
2026-04-07;11:00;EST-01;7.84;35.21;19.27;32.4;1.086;32.16
2026-04-07;12:00;EST-01;;45.58;27.77;27.09;1.202;44.82
2026-04-07;13:00;EST-01;6.16;42.73;23.79;27.55;1.129;44.6
2026-04-07;14:00;EST-01;7.04;37.41;22.51;34.45;1.226;
2026-04-07;15:00;EST-01;8.37;44.13;31.85;26.39;1.285;49.14
2026-04-07;16:00;EST-01;8.96;50.2;16.76;24.92;1.233;57.7
2026-04-07;17:00;EST-01;7.3;38.62;24.71;29.98;1.088;61.48
2026-04-07;18:00;EST-01;3.29;41.6;18.88;29.33;0.998;53.88
2026-04-07;19:00;EST-01;5.97;30.88;18.58;17.06;0.937;62.06
2026-04-07;20:00;EST-01;6.23;33.95;24.67;21.07;0.839;
2026-04-07;21:00;EST-01;5.75;31.2;19.37;18.03;0.769;55.07
2026-04-07;22:00;EST-01;5.23;29.4;21.12;;0.718;60.28
2026-04-07;23:00;EST-01;3.08;42.68;20.18;21.74;0.718;53.03
2026-04-01;00:00;EST-02;3.81;40.22;23.62;16.4;0.663;40.71
2026-04-01;01:00;EST-02;;23.7;24.4;12.4;0.576;45.64
2026-04-01;02:00;EST-02;4.33;;16.88;10.74;0.405;38.67
2026-04-01;03:00;EST-02;5.98;30.66;25.38;9.82;0.698;38.67
2026-04-01;04:00;EST-02;4.2;41.02;29.55;16.98;0.712;32.38
2026-04-01;05:00;EST-02;5.29;37.08;26.79;17.46;0.961;24.75
2026-04-01;06:00;EST-02;4.64;45.09;23.27;16.33;0.793;25.78
2026-04-01;07:00;EST-02;5.63;55.89;29.23;17.23;0.805;29.4
2026-04-01;08:00;EST-02;7.21;37.87;23.58;27.54;1.104;29.13
2026-04-01;09:00;EST-02;5.18;35.05;24.33;17.41;1.181;28.28
2026-04-01;10:00;EST-02;7.58;57.01;31.61;23.9;1.279;38.46
2026-04-01;11:00;EST-02;6.52;41.32;27.74;23.96;1.424;22.63
2026-04-01;12:00;EST-02;6.4;46.38;27.8;32.46;1.336;36.18
2026-04-01;13:00;EST-02;9.3;35.76;28.9;29.83;1.354;41.37
2026-04-01;14:00;EST-02;6.91;44.95;31.77;34.4;1.268;53.7
2026-04-01;15:00;EST-02;10.7;39.82;29.95;42.73;1.432;47.84
2026-04-01;16:00;EST-02;7.48;44.75;27.85;29.59;1.392;47.76
2026-04-01;17:00;EST-02;6.88;39.83;27.95;26.79;1.226;57.55
2026-04-01;18:00;EST-02;7.44;48.83;28.75;28.74;1.16;52.79
2026-04-01;19:00;EST-02;7.43;37.85;31.47;26.47;1.001;53.13
2026-04-01;20:00;EST-02;5.19;43.76;23.49;28.57;0.906;44.64
2026-04-01;21:00;EST-02;;29.2;25.08;25.91;0.987;48.89
2026-04-01;22:00;EST-02;;50.47;25.61;19.52;0.952;
2026-04-01;23:00;EST-02;6.14;39.39;25.12;20.1;0.679;47.05
2026-04-02;00:00;EST-02;4.33;31.92;23.19;16.59;0.978;45.49
2026-04-02;01:00;EST-02;3.92;36.02;24.63;19.49;0.603;42.63
2026-04-02;02:00;EST-02;2.03;31.24;24.88;15.18;0.528;41.64
2026-04-02;03:00;EST-02;4.11;40.03;21.03;14.3;0.444;34.51
2026-04-02;04:00;EST-02;6.21;24.48;22.22;17.08;0.652;33.21
2026-04-02;05:00;EST-02;4.51;38.53;;10.13;0.735;30.39
2026-04-02;06:00;EST-02;4.34;41.16;26.74;23.09;0.765;37.29
2026-04-02;07:00;EST-02;6.89;48.07;30.09;21.09;0.889;35.55
2026-04-02;08:00;EST-02;4.36;44.06;24.14;22.52;0.791;26.55
2026-04-02;09:00;EST-02;6.49;;30.24;26.01;1.068;27.27
2026-04-02;10:00;EST-02;7.48;44.31;29.62;35.51;1.171;25.19
2026-04-02;11:00;EST-02;6.38;38.29;23.93;;1.275;27.06
2026-04-02;12:00;EST-02;;55.56;27.34;29.09;1.263;38.67
2026-04-02;13:00;EST-02;8.7;55.69;33.14;37.43;1.502;43.57
2026-04-02;14:00;EST-02;6.16;48.01;30.1;31.47;1.459;41.7
2026-04-02;15:00;EST-02;6.82;57.26;31.23;33.57;1.449;52.05
2026-04-02;16:00;EST-02;8.14;33.25;26.23;29.97;1.185;50.74
2026-04-02;17:00;EST-02;8.84;44.13;24.15;38.48;1.193;46.17
2026-04-02;18:00;EST-02;7.29;48.35;25.03;31.66;1.117;49.71
2026-04-02;19:00;EST-02;6.73;48.98;24.56;27.65;1.079;69.7
2026-04-02;20:00;EST-02;5.15;51.11;25.82;23.49;1.087;60.47
2026-04-02;21:00;EST-02;7.0;43.22;23.12;19.52;0.971;58.48
2026-04-02;22:00;EST-02;6.68;42.31;28.21;25.57;0.845;46.9
2026-04-02;23:00;EST-02;3.17;29.93;29.45;14.25;0.9;55.27
2026-04-03;00:00;EST-02;6.33;43.62;23.04;15.41;0.707;50.63
2026-04-03;01:00;EST-02;3.43;36.81;28.73;8.5;0.693;42.2
2026-04-03;02:00;EST-02;4.22;41.84;22.8;18.09;0.459;49.03
2026-04-03;03:00;EST-02;3.34;40.74;23.74;4.96;0.571;41.37
2026-04-03;04:00;EST-02;6.13;39.33;24.3;10.56;0.869;46.29
2026-04-03;05:00;EST-02;4.62;37.24;18.21;21.17;1.077;38.25
2026-04-03;06:00;EST-02;6.52;43.05;21.05;24.85;0.677;31.62
2026-04-03;07:00;EST-02;5.82;46.54;26.68;23.22;0.818;24.98
2026-04-03;08:00;EST-02;6.07;38.54;21.42;18.94;0.941;21.74
2026-04-03;09:00;EST-02;4.9;34.54;27.41;27.96;1.331;23.94
2026-04-03;10:00;EST-02;6.18;51.28;26.74;27.19;1.38;30.98
2026-04-03;11:00;EST-02;6.03;39.14;29.3;31.58;1.083;29.73
2026-04-03;12:00;EST-02;8.37;51.46;26.35;34.28;1.372;28.33
2026-04-03;13:00;EST-02;7.56;51.09;26.89;24.14;1.304;44.03
2026-04-03;14:00;EST-02;9.9;35.66;38.15;28.49;1.465;
2026-04-03;15:00;EST-02;9.11;49.49;24.83;35.2;1.252;34.12
2026-04-03;16:00;EST-02;11.13;52.24;34.96;28.15;1.479;57.7
2026-04-03;17:00;EST-02;9.28;46.92;23.91;29.65;0.983;43.83
2026-04-03;18:00;EST-02;7.11;39.85;26.92;28.06;1.407;60.81
2026-04-03;19:00;EST-02;6.46;51.61;24.05;24.98;1.2;49.37
2026-04-03;20:00;EST-02;5.67;34.87;26.41;30.53;0.91;57.13
2026-04-03;21:00;EST-02;4.41;34.35;20.9;27.49;1.193;57.99
2026-04-03;22:00;EST-02;4.14;44.03;23.33;22.71;0.86;55.72
2026-04-03;23:00;EST-02;5.31;35.08;22.46;10.75;0.699;45.23
2026-04-04;00:00;EST-02;4.09;31.86;23.76;;0.526;45.68
2026-04-04;01:00;EST-02;2.94;41.48;29.07;;0.62;54.06
2026-04-04;02:00;EST-02;2.18;45.8;20.7;;0.968;51.39
2026-04-04;03:00;EST-02;2.83;38.02;22.35;;0.484;36.86
2026-04-04;04:00;EST-02;4.83;38.94;27.6;;0.979;33.67
2026-04-04;05:00;EST-02;4.9;27.06;19.49;;0.639;37.31
2026-04-04;06:00;EST-02;4.93;33.53;23.28;;0.767;36.44
2026-04-04;07:00;EST-02;6.27;37.78;22.05;;;36.57
2026-04-04;08:00;EST-02;9.19;47.86;25.88;;0.897;26.47
2026-04-04;09:00;EST-02;5.31;41.98;25.28;;1.043;30.44
2026-04-04;10:00;EST-02;5.54;55.67;29.27;;1.271;
2026-04-04;11:00;EST-02;7.12;51.35;37.59;;1.389;43.15
2026-04-04;12:00;EST-02;8.24;52.59;33.08;;1.353;32.81
2026-04-04;13:00;EST-02;7.1;44.81;28.39;;1.394;33.01
2026-04-04;14:00;EST-02;10.43;55.9;31.6;;1.339;46.31
2026-04-04;15:00;EST-02;8.44;38.27;31.56;;1.111;51.83
2026-04-04;16:00;EST-02;8.19;47.31;33.52;;1.323;57.26
2026-04-04;17:00;EST-02;7.17;44.47;28.53;;1.438;47.68
2026-04-04;18:00;EST-02;8.08;38.08;29.91;;0.856;54.29
2026-04-04;19:00;EST-02;5.2;41.61;32.31;;;62.98
2026-04-04;20:00;EST-02;6.14;52.31;;;0.992;62.32
2026-04-04;21:00;EST-02;6.64;41.25;25.4;;0.838;65.5
2026-04-04;22:00;EST-02;5.01;32.82;22.78;;0.904;53.62
2026-04-04;23:00;EST-02;3.76;38.7;17.86;;0.851;49.87
2026-04-05;00:00;EST-02;4.73;45.12;25.74;16.29;0.959;53.18
2026-04-05;01:00;EST-02;3.63;41.52;;11.79;0.671;45.89
2026-04-05;02:00;EST-02;;;21.98;13.2;0.447;41.68
2026-04-05;03:00;EST-02;4.02;37.63;19.02;17.91;0.512;39.11
2026-04-05;04:00;EST-02;5.88;33.33;21.56;20.62;0.65;35.72
2026-04-05;05:00;EST-02;4.86;45.03;15.95;14.23;0.628;29.09
2026-04-05;06:00;EST-02;3.95;34.63;25.58;15.85;0.84;34.73
2026-04-05;07:00;EST-02;4.58;42.05;31.09;22.99;0.831;31.09
2026-04-05;08:00;EST-02;4.87;44.46;29.09;20.65;0.974;36.69
2026-04-05;09:00;EST-02;5.91;45.51;23.11;22.98;1.028;42.31
2026-04-05;10:00;EST-02;6.51;42.62;25.53;27.84;1.254;33.62
2026-04-05;11:00;EST-02;9.88;48.33;33.19;31.47;1.32;27.44
2026-04-05;12:00;EST-02;7.58;47.58;27.75;;1.409;35.31
2026-04-05;13:00;EST-02;7.41;47.06;28.1;34.32;1.186;35.61
2026-04-05;14:00;EST-02;8.35;49.67;27.68;30.7;1.25;43.21
2026-04-05;15:00;EST-02;9.35;42.25;34.23;36.07;1.284;50.65
2026-04-05;16:00;EST-02;5.97;37.61;24.08;30.16;1.264;47.17
2026-04-05;17:00;EST-02;7.53;34.23;29.86;;;50.27
2026-04-05;18:00;EST-02;5.61;37.57;23.98;28.45;1.246;57.15
2026-04-05;19:00;EST-02;5.32;39.6;23.55;28.13;0.846;61.77
2026-04-05;20:00;EST-02;5.42;38.1;27.19;28.13;1.041;61.26
2026-04-05;21:00;EST-02;5.64;48.62;29.58;21.27;1.082;56.4
2026-04-05;22:00;EST-02;5.1;;23.49;22.61;0.667;57.57
2026-04-05;23:00;EST-02;5.0;40.22;16.16;17.22;0.83;48.52
2026-04-06;00:00;EST-02;4.38;;25.75;13.56;0.801;40.54
2026-04-06;01:00;EST-02;4.9;35.58;25.93;11.6;0.588;57.95
2026-04-06;02:00;EST-02;3.0;32.56;22.03;10.91;0.793;52.13
2026-04-06;03:00;EST-02;3.22;26.65;27.2;19.74;0.761;46.05
2026-04-06;04:00;EST-02;3.23;36.59;18.56;10.53;0.815;33.89
2026-04-06;05:00;EST-02;7.32;39.0;21.64;20.83;0.969;37.09
2026-04-06;06:00;EST-02;3.54;42.03;29.31;17.53;0.732;37.76
2026-04-06;07:00;EST-02;5.65;34.63;23.89;18.65;0.945;31.97
2026-04-06;08:00;EST-02;7.38;47.06;20.53;25.63;1.108;33.28
2026-04-06;09:00;EST-02;7.75;41.06;23.45;30.05;0.963;20.63
2026-04-06;10:00;EST-02;8.23;41.45;26.43;22.91;1.016;26.89
2026-04-06;11:00;EST-02;6.98;49.26;20.08;33.37;1.106;29.33
2026-04-06;12:00;EST-02;8.55;47.55;23.22;39.17;1.2;38.49
2026-04-06;13:00;EST-02;8.17;57.06;27.3;36.73;1.249;45.88
2026-04-06;14:00;EST-02;;;35.64;34.27;;54.71
2026-04-06;15:00;EST-02;;43.7;31.47;27.97;1.473;52.77
2026-04-06;16:00;EST-02;7.04;44.23;29.22;31.85;1.186;52.59
2026-04-06;17:00;EST-02;4.96;44.45;26.71;29.27;1.284;
2026-04-06;18:00;EST-02;7.71;44.72;25.22;23.03;1.033;56.13
2026-04-06;19:00;EST-02;5.36;44.74;30.49;30.46;1.278;54.09
2026-04-06;20:00;EST-02;4.7;48.92;;28.5;1.001;61.98
2026-04-06;21:00;EST-02;6.5;45.55;;23.26;0.937;
2026-04-06;22:00;EST-02;6.19;36.73;30.57;19.08;0.943;
2026-04-06;23:00;EST-02;;50.75;22.8;12.53;0.667;50.75
2026-04-07;00:00;EST-02;6.85;38.84;26.67;12.2;0.739;
2026-04-07;01:00;EST-02;6.23;32.83;25.21;16.52;0.539;46.64
2026-04-07;02:00;EST-02;3.68;22.85;25.1;;0.597;36.81
2026-04-07;03:00;EST-02;5.84;38.6;26.66;20.95;0.599;44.33
2026-04-07;04:00;EST-02;3.98;37.23;23.1;16.2;0.831;37.87
2026-04-07;05:00;EST-02;4.4;36.9;25.07;14.06;0.692;34.4
2026-04-07;06:00;EST-02;4.32;39.09;22.36;27.52;0.984;34.92
2026-04-07;07:00;EST-02;5.42;54.39;26.35;21.32;0.946;32.96
2026-04-07;08:00;EST-02;7.69;42.69;33.35;20.47;1.083;25.99
2026-04-07;09:00;EST-02;8.7;42.37;26.57;30.03;1.241;25.87
2026-04-07;10:00;EST-02;6.58;37.43;27.98;28.09;1.133;29.25
2026-04-07;11:00;EST-02;6.95;42.56;29.97;36.43;1.016;34.08
2026-04-07;12:00;EST-02;;50.95;25.27;31.21;1.178;40.73
2026-04-07;13:00;EST-02;8.05;;30.19;31.71;1.152;43.24
2026-04-07;14:00;EST-02;8.35;;32.45;37.87;1.219;39.59
2026-04-07;15:00;EST-02;9.79;57.11;26.31;27.97;1.262;44.24
2026-04-07;16:00;EST-02;5.83;48.18;24.12;26.95;1.413;46.33
2026-04-07;17:00;EST-02;7.33;50.82;30.97;29.02;1.253;48.21
2026-04-07;18:00;EST-02;9.1;49.7;;28.52;1.261;56.72
2026-04-07;19:00;EST-02;8.71;;24.89;25.97;0.937;56.82
2026-04-07;20:00;EST-02;6.18;59.02;;15.63;0.919;56.56
2026-04-07;21:00;EST-02;3.98;36.04;23.94;23.04;0.89;51.13
2026-04-07;22:00;EST-02;5.95;36.56;22.75;13.98;0.731;57.58
2026-04-07;23:00;EST-02;2.64;38.13;26.39;16.13;0.781;46.75
2026-04-01;00:00;EST-03;6.84;52.21;29.23;12.19;0.721;50.63
2026-04-01;01:00;EST-03;7.12;46.78;32.47;15.88;0.789;42.74
2026-04-01;02:00;EST-03;;;31.29;23.29;0.662;32.72
2026-04-01;03:00;EST-03;5.49;41.08;19.8;21.54;0.831;
2026-04-01;04:00;EST-03;7.8;46.44;25.76;19.61;0.722;29.44
2026-04-01;05:00;EST-03;6.05;43.23;27.3;27.31;1.006;34.68
2026-04-01;06:00;EST-03;6.63;50.71;34.6;22.42;1.198;23.92
2026-04-01;07:00;EST-03;6.18;40.98;29.02;26.74;1.234;24.11
2026-04-01;08:00;EST-03;7.01;48.64;28.41;22.24;1.157;18.34
2026-04-01;09:00;EST-03;7.65;52.48;29.47;25.29;1.074;36.78
2026-04-01;10:00;EST-03;6.39;63.15;34.6;30.04;1.186;
2026-04-01;11:00;EST-03;10.49;49.44;32.08;37.57;1.438;40.66
2026-04-01;12:00;EST-03;8.05;59.25;29.22;43.18;1.365;22.21
2026-04-01;13:00;EST-03;8.78;55.76;40.6;34.34;1.487;39.23
2026-04-01;14:00;EST-03;10.9;;37.64;38.07;1.464;39.89
2026-04-01;15:00;EST-03;8.97;51.1;38.15;30.15;1.629;47.51
2026-04-01;16:00;EST-03;8.62;51.4;32.81;36.69;1.542;47.18
2026-04-01;17:00;EST-03;9.6;51.7;33.94;27.09;1.489;49.1
2026-04-01;18:00;EST-03;7.5;60.77;34.92;20.23;1.33;43.05
